Harvesting Month,Harvesting Month_APRIL,Harvesting Month_AUGUST,Harvesting Month_DECEMBER,Harvesting Month_FEBRUARY,Harvesting Month_JANUARY,Harvesting Month_JULY,Harvesting Month_JUNE,Harvesting Month_MARCH,Harvesting Month_MAY,Harvesting Month_NOVEMBER,Harvesting Month_OCTOBER,Harvesting Month_SEPTEMBER
OCTOBER,0,0,0,0,0,0,0,0,0,0,0,0
JANUARY,0,0,0,0,0,0,0,0,0,0,0,0
NOVEMBER,0,0,0,0,0,0,0,0,0,0,0,0
SEPTEMBER,0,0,0,0,0,0,0,0,0,0,0,0
FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0
MARCH,0,0,0,0,0,0,0,0,0,0,0,0
DECEMBER,0,0,0,0,0,0,0,0,0,0,0,0
AUGUST,0,0,0,0,0,0,0,0,0,0,0,0
JULY,0,0,0,0,0,0,0,0,0,0,0,0
APRIL,0,0,0,0,0,0,0,0,0,0,0,0
MAY,0,0,0,0,0,0,0,0,0,0,0,0
JUNE,0,0,0,0,0,0,0,0,0,0,0,0
